complaint_type,descriptor,location_type
Cannabis Retailer,Unlicensed,UNKNOWN
General Construction/Plumbing,Working Contrary To Stop Work Order,UNKNOWN
Day Care,Day Care Facility,OTHER
Hazardous Materials,Chemical Odor (Hd1),UNKNOWN
General Construction/Plumbing,Fence - None/Inadequate,UNKNOWN
Residential Disposal Complaint,Waste Not Separated,Street
Safety,Carbon Monoxide Detector,Residential Building
Noise,Noise: Alarms (Nr3),UNKNOWN
Damaged Tree,Branch Or Limb Has Fallen Down,Street
Plumbing,Toilet,Residential Building
Plumbing,Gas Hook-Up/Piping - Illegal Or Defective,UNKNOWN
Rodent,Condition Attracting Rodents,3+ Family Apt. Building
Mobile Food Vendor,Food Temperature,Mobile Food Vendor
Illegal Fireworks,UNKNOWN,Street/Sidewalk
Graffiti,Graffiti,UNKNOWN
Maintenance Or Facility,Hours Of Operation,Park
Rodent,Signs Of Rodents,3+ Family Apt. Building
Missed Collection,Trash,Street
Water Conservation,Water Meter Broken/Leaking - Other (Cmo),UNKNOWN
Encampment,UNKNOWN,Store/Commercial
Overgrown Tree/Branches,Traffic Sign Or Signal Blocked,Street
Consumer Complaint,Home Improvement Contractor,Business
Water Leak,Heavy Flow,Residential Building
Illegal Parking,Blocked Bike Lane,Street/Sidewalk
Animal-Abuse,No Shelter,Residential Building
Day Care,Day Care Facility,Commercial Building
Panhandling,UNKNOWN,Street/Sidewalk
Lost Property,Bag/Wallet,Taxi
General Construction/Plumbing,Debris - Excessive,UNKNOWN
Noise - Commercial,Car/Truck Horn,Store/Commercial
Paint/Plaster,Ceiling,Residential Building
Consumer Complaint,Landlord Or Real Estate Agent,Business
Rodent,Rat Sighting,Sidewalk
Traffic Signal Condition,Veh Signal Head,UNKNOWN
Dirty Condition,Dirt Or Gravel,Street
Traffic Signal Condition,Wireless,UNKNOWN
Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery
General,Ventilation System,Residential Building
Overgrown Tree/Branches,Hitting Power Lines,Street
Sewer,Sewer Odor (Sa2),UNKNOWN
Door/Window,Door,Residential Building
Drinking,In Public,Residential Building/House
Street Sign - Dangling,UNKNOWN,Street
Root/Sewer/Sidewalk Condition,Trees And Sidewalks Program,Street
Obstruction,Cone,Street
Noise - Vehicle,Engine Idling,Street/Sidewalk
Noise,Noise: Manufacturing Noise (Nk1),UNKNOWN
Traffic Signal Condition,Veh Signal Visor,UNKNOWN
Traffic,Chronic Stoplight Violation,Street/Sidewalk
Maintenance Or Facility,Snow Or Ice,Street/Curbside
Building/Use,Illegal. Commercial Use In Resident Zone,UNKNOWN
Indoor Air Quality,Dust From Construction,3+ Family Apartment Building
Residential Disposal Complaint,Waste Set Out Too Early Or Too Late,Sidewalk
General Construction/Plumbing,Site Conditions Endangering Workers,UNKNOWN
General Construction/Plumbing,Wall/Retaining Wall - Bulging/Cracked,UNKNOWN
Dead Animal,Bird,Sidewalk
Sewer,Culvert Blocked/Needs Cleaning (Se),UNKNOWN
Encampment,UNKNOWN,Park/Playground
Damaged Tree,Branch Cracked And Will Fall,Street
Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk
Day Care,Day Care Facility,Apartment
Electric,Lighting,Residential Building
Sewer,Street Flooding (Sj),UNKNOWN
Homeless Person Assistance,Chronic,Store/Commercial
