complaint_type,descriptor,location_type
Derelict Vehicles,Derelict Vehicles,Street
General Construction/Plumbing,Debris - Excessive,UNKNOWN
General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,UNKNOWN
Rodent,Condition Attracting Rodents,1-2 Family Dwelling
Overgrown Tree/Branches,Hitting Building,Street
Paint/Plaster,Wall,Residential Building
Traffic Signal Condition,Veh Signal Visor,UNKNOWN
Non-Emergency Police Matter,OTHER,Street/Sidewalk
Illegal Parking,Parking Permit Improper Use,Street/Sidewalk
Street Sign - Damaged,One Way,Street
Maintenance Or Facility,Garbage Or Litter,Street/Curbside
Violation Of Park Rules,Bbq Outside Authorized Area,Park
Consumer Complaint,Landlord Or Real Estate Agent,Business
Broken Parking Meter,Out Of Order,Street
Indoor Air Quality,Sewage Odor,1-2 Family Dwelling
Food Poisoning,1 Or 2,OTHER
Drug Activity,Use Indoor,Common Area
Dead/Dying Tree,Planted Less Than 2 Years Ago,Street
Dumpster Complaint,Blocking Sidewalk Or Street,Sidewalk
Residential Disposal Complaint,Waste Left In Front Of Other Residence,Sidewalk
Street Condition,Cave-In,Street
Consumer Complaint,Street Fair Vendor,Business
General Construction/Plumbing,Failure To Maintain,UNKNOWN
General Construction/Plumbing,Fence - None/Inadequate,UNKNOWN
Abandoned Bike,Chained To Public Property,Street
Safety,Carbon Monoxide Detector,Residential Building
Root/Sewer/Sidewalk Condition,Trees And Sidewalks Program,Street
Vendor Enforcement,Non-Food Vendor,Street
Sanitation Worker Or Vehicle Complaint,Inappropriate Behavior,Street
Unsanitary Condition,Sewage,Residential Building
Asbestos,Asbestos Complaint (B1),UNKNOWN
Bus Stop Shelter Complaint,Broken Glass,Bus Stop Shelter
Noise - Vehicle,Car/Truck Music,Street/Sidewalk
Rodent,Rat Sighting,3+ Family Mixed Use Building
Drinking,Underage - Licensed Est,Club/Bar/Restaurant
Hazardous Materials,Chemical Odor (Hd1),UNKNOWN
Indoor Air Quality,Chemical Vapors/Gases/Odors,3+ Family Apartment Building
Food Poisoning,1 Or 2,Restaurant/Bar/Deli/Bakery
Lead,Lead Kit Request (Residential) (L10),UNKNOWN
Hazardous Materials,Chemical Spill/Release (Ha1),UNKNOWN
Noise - House Of Worship,Loud Talking,House Of Worship
Animal-Abuse,OTHER,Residential Building/House
Lost Property,Clothing/Glasses,Taxi
Graffiti,Police Report Not Requested,Street/Sidewalk
Building/Use,Sro - Illegal Work/No Permit/Change In Occupancy/Use,UNKNOWN
Door/Window,Window Pane,Residential Building
Consumer Complaint,Hotel Or Motel,Business
Traffic Signal Condition,Cable,UNKNOWN
Overgrown Tree/Branches,Traffic Sign Or Signal Blocked,Street
Asbestos,UNKNOWN,3+ Family Apartment Building
Lost Property,Electronics/Phones,Taxi
Consumer Complaint,Laundromat,Business
Elevator,Elevator - Multiple Devices On Property,UNKNOWN
Animal-Abuse,Tortured,Residential Building/House
Safety,Window Guard Broken/Missing,Residential Building
Missed Collection,Bulky Trash,Street
Homeless Person Assistance,Chronic,Store/Commercial
Indoor Air Quality,Ventilation,3+ Family Apartment Building
General,Bell/Buzzer/Intercom,Residential Building
Non-Residential Heat,Inadequate Or No Heat,Building (Non-Residential)
Traffic Signal Condition,Ped Lamp,UNKNOWN
General,Signage Missing,Residential Building
Damaged Tree,Tree Alive - In Poor Condition,Street
General,Cooking Gas,Residential Building
Drug Activity,Use Indoor,Lobby
Sanitation Worker Or Vehicle Complaint,Spilled Garbage,Street
Panhandling,UNKNOWN,Residential Building/House
Homeless Person Assistance,Non-Chronic,Store/Commercial
Street Sign - Damaged,"No Parking, Standing, Stopping",Street
Dead Animal,Cat,Sidewalk
Illegal Posting,Flyer Or Handbill,Sidewalk
Dead Animal,Dog,Sidewalk
General,Janitor/Super,Residential Building
Curb Condition,Broken Curb,Sidewalk
Street Sign - Damaged,UNKNOWN,Street
Illegal Parking,Overnight Commercial Storage,Street/Sidewalk
Noise,Noise: Private Carting Noise (Nq1),UNKNOWN
Lost Property,OTHER,Taxi
For Hire Vehicle Complaint,Driver Complaint - Passenger,Street
Food Establishment,Kitchen/Food Prep Area,Restaurant/Bar/Deli/Bakery
Lost Property,Bag/Wallet,Taxi
Consumer Complaint,Restaurant,Business
Animal-Abuse,No Shelter,House And Store
Paint/Plaster,Ceiling,Residential Building
Mobile Food Vendor,Food Source/Protection,Mobile Food Vendor
Boilers,Boiler - Defective/Inoperative/No Permit,UNKNOWN
Noise - Commercial,Loud Talking,Store/Commercial
Homeless Person Assistance,Chronic,Subway
Damaged Tree,Tree Trunk Split,Street
Non-Emergency Police Matter,Trespassing,Store/Commercial
Dirty Condition,Trash,Yard
For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street
Traffic Signal Condition,Veh Sgnl Mult Lamps,UNKNOWN
Water Conservation,Water Meter Broken/Leaking - Private Residence (Cmr),UNKNOWN
Traffic,Drag Racing,Street/Sidewalk
Residential Disposal Complaint,Trash Or Recycling Not Secure,Sidewalk
Sewer,Sewer Backup (Use Comments) (Sa),UNKNOWN
Dead Animal,Opossum,Street
Noise - Commercial,Banging/Pounding,Store/Commercial
Drinking,In Public,Residential Building/House
Day Care,Day Care Facility,Private School
Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk
Consumer Complaint,Tow Truck Company,Business
Electric,Power Outage,Residential Building
Illegal Fireworks,UNKNOWN,Park/Playground
Paint/Plaster,Window/Frame,Residential Building
Food Establishment,Food Temperature,Restaurant/Bar/Deli/Bakery
Air Quality,"Air: Odor/Fumes, Restaurant (Ad2)",UNKNOWN
Water System,Hydrant Leaking (Wc1),UNKNOWN
Bus Stop Shelter Complaint,Dirty/Graffiti,Bus Stop Shelter
Animal-Abuse,No Shelter,Residential Building
Noise,Noise: Construction Before/After Hours (Nm1),UNKNOWN
Obstruction,Weeds Or Grass,Sidewalk
School Maintenance,Snow/Ice,School
Consumer Complaint,Home Improvement Contractor,Business
Dead Animal,OTHER,Street
Street Sign - Missing,Stop,Street
Street Sign - Damaged,St Name - Attached To Pole,Street
Illegal Parking,Blocked Bike Lane,Street/Sidewalk
Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk
Drug Activity,Use Indoor,Hallway
Residential Disposal Complaint,Trash Or Recycling Not Secure,Street
Consumer Complaint,Supermarket Or Grocery Store,Business
Special Projects Inspection Team (Spit),Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal,UNKNOWN
Dumpster Complaint,Overflowing Dumpster,Sidewalk
Maintenance Or Facility,Structure - Indoors,Park
Illegal Parking,Detached Trailer,Street/Sidewalk
Broken Parking Meter,Coin Or Card Did Not Register,Street
Dirty Condition,Trash,Alley
Residential Disposal Complaint,Mattress Or Box Spring Uncovered,Sidewalk
Graffiti,Graffiti,UNKNOWN
Sidewalk Condition,Defective Hardware,Sidewalk
Maintenance Or Facility,Snow Or Ice,Park
Traffic,Chronic Stoplight Violation,Street/Sidewalk
Obstruction,Sidewalk Display,Sidewalk
Street Light Condition,Street Light Out,UNKNOWN
Illegal Fireworks,UNKNOWN,Residential Building/House
Illegal Posting,Poster Or Sign,Sidewalk
Residential Disposal Complaint,Waste Set Out Too Early Or Too Late,Sidewalk
Plumbing,Bathtub/Shower,Residential Building
Homeless Person Assistance,Chronic,OTHER
Animal-Abuse,Neglected,Residential Building/House
Traffic Signal Condition,Time Switch,UNKNOWN
Street Sign - Missing,UNKNOWN,Street
General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,UNKNOWN
Traffic Signal Condition,Underground,UNKNOWN
Dumpster Complaint,Blocking Sidewalk Or Street,Street
Drug Activity,Use Indoor,OTHER
Illegal Parking,Commercial Overnight Parking,Street/Sidewalk
Day Care,Day Care Facility,OTHER
Missed Collection,Recycling - Paper,Street
Water System,Possible Water Main Break (Use Comments) (Wa1),UNKNOWN
Traffic Signal Condition,Ped Multiple Lamps,UNKNOWN
Commercial Disposal Complaint,Waste Left In Front Of Residence,Sidewalk
Blocked Driveway,No Access,Street/Sidewalk
Indoor Air Quality,OTHER,3+ Family Apartment Building
Outdoor Dining,Sidewalk Zone Blocked,Sidewalk
Violation Of Park Rules,Unsafe Use Of Playground,Park
Dead Animal,Squirrel,Sidewalk
Panhandling,UNKNOWN,Subway
General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,UNKNOWN
Damaged Tree,Branch Or Limb Has Fallen Down,Street
Water Leak,Damp Spot,Residential Building
Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk
Plumbing,Radiator,Residential Building
Food Establishment,Bare Hands In Contact W/ Food,Restaurant/Bar/Deli/Bakery
Street Sign - Missing,"No Parking, Standing, Stopping",Street
Heat/Hot Water,Apartment Only,Residential Building
Street Sign - Dangling,Stop,Street
Dead/Dying Tree,Planted More Than 2 Years Ago,Street
Noise - Commercial,Loud Talking,Club/Bar/Restaurant
Noise - Commercial,Car/Truck Music,Store/Commercial
Water Leak,Slow Leak,Residential Building
Electrical,Electrical Wiring Defective/Exposed,UNKNOWN
General Construction/Plumbing,Debris - Falling Or In Danger Of Falling,UNKNOWN
Food Establishment,Letter Grading,Restaurant/Bar/Deli/Bakery
Graffiti,Graffiti,Mixed Use
Noise,"Noise, Barking Dog (Nr5)",UNKNOWN
Sewer,Culvert Blocked/Needs Cleaning (Se),UNKNOWN
Dead Animal,Rat Or Mouse,Sidewalk
Residential Disposal Complaint,Bin Not Used,Street
Street Sign - Dangling,UNKNOWN,Street
Flooring/Stairs,Floor,Residential Building
Non-Emergency Police Matter,Trespassing,Street/Sidewalk
Encampment,UNKNOWN,Residential Building/House
Illegal Posting,Poster Or Sign,Street
Plumbing,Gas Hook-Up/Piping - Illegal Or Defective,UNKNOWN
Street Condition,Blocked - Construction,Street
Traffic,Chronic Speeding,Street/Sidewalk
Homeless Person Assistance,Non-Chronic,House Of Worship
Drug Activity,Use Outside,Street/Sidewalk
Homeless Person Assistance,Non-Chronic,Subway
Encampment,UNKNOWN,Park/Playground
Street Light Condition,Lamppost Damaged,UNKNOWN
Drinking,After Hours - Licensed Est,Club/Bar/Restaurant
Air Quality,Air: Other Air Problem (Use Comments) (Azz),UNKNOWN
Drug Activity,Use Indoor,Stairwell
Sidewalk Condition,Sidewalk Collapsed,Sidewalk
Curb Condition,Defacement,Curb
Street Condition,Failed Street Repair,Street
Special Projects Inspection Team (Spit),Illegal Hotel Rooms In Residential Building,UNKNOWN
